The mass of things like fine threads that grows on your head,Hair,Chair,Chore,Hair,Fear
A piece of clothing made of soft material that you wear on your foot inside,Socks,Clock,Socks,Shoes,Frogs
A space or an area of glass in the wall of a building or vehicle that lets in light,Window,Mac,Shadow,Rainbow,Window
Work that a student at school is asked to do at home,Homework,Homework,Doctor,Play,Picture
A female parent of a child,Mother,Daughter,Son,Father,Mother
The people who work for an official organization whose job is to catch criminals and make sure that people obey the law,Police,Doctor,Police,Fire Fighter,Teacher
A completely round shape,Circle,Circle,Triangle,Square,Turtle
The large area of salty water that covers much of the Earth’s surface,Sea,Mountain,Sea,School,Seaweed
A vehicle with four wheels and an engine that can carry a small number of passengers,Car,Bike,Toilet,Stroller,Car
A farm animal with short legs a fat body and a curved tail,Pig,Cat,Crow,Pig,Horse
An alcoholic drink made from malt and hops,Beer,Beer,Water,Canada Dry,Tea
A long curved tropical fruit with a yellow skin,Banana,Apple,Banana,Mango,Grape
A very large African monkey that is the largest of the apes,Gorilla,Dolphin,Shark,Bear,Gorilla
To rest your mind and body usually at night when you are lying in bed with your eyes closed,Sleep,Creep,Sleep,Slope,Slot
A situation in which there is no war or fighting,Peace,Heaven,Hell,Peace,Party
Someone’s female child,Daughter,Son,Daughter,Mom,Dad
A building or group of buildings in which goods are produced in large quantities using machines,Factory,Factor,Failure,Fancy,Factory
What you earn by working and can use to buy things,Money,Money,Salt,Banana,Dignity
A metal weapon which shoots bullets or shells,Gun,Sausage,Whistle,Gun,Sord
A building where people are kept as a punishment for a crime,Prison,Library,Starbucks,Kitchen,Prison
